Cabinet class,Sex,Agegroup,Status,Count
Mid class,male,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Elder,Died,1
Low class,male,Child,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Survived,1
Low class,female,Child,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,female,Others,Survived,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
High class,male,Others,Died,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
Low class,female,Child,Died,1
Low class,female,Others,Survived,1
Low class,female,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Survived,1
Low class,female,Child,Died,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,male,Elder,Died,1
High class,female,Others,Survived,1
Low class,male,Elder,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,male,Elder,Died,1
Low class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Child,Survived,1
High class,female,Child,Survived,1
Low class,female,Others,Died,1
High class,male,Child,Died,1
Low class,male,Others,Died,1
High class,male,Elder,Died,1
Low class,male,Child,Died,1
Low class,female,Child,Survived,1
Low class,male,Others,Died,1
High class,male,Elder,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,female,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Child,Died,1
Mid class,male,Child,Died,1
Low class,male,Child,Died,1
Mid class,male,Child,Survived,1
Low class,female,Child,Survived,1
High class,male,Child,Died,1
Low class,female,Child,Survived,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Mid class,male,Others,Died,1
Low class,female,Others,Survived,1
Mid class,male,Child,Survived,1
High class,female,Others,Survived,1
High class,female,Elder,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,female,Child,Survived,1
Mid class,female,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
Low class,female,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
Low class,female,Others,Survived,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
High class,female,Others,Survived,1
Low class,female,Others,Survived,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
Mid class,male,Others,Died,1
Low class,male,Others,Survived,1
Mid class,male,Others,Died,1
Low class,male,Elder,Died,1
Low class,male,Child,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,female,Child,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Elder,Died,1
Low class,female,Child,Survived,1
Mid class,male,Others,Died,1
Low class,female,Child,Died,1
Mid class,male,Others,Died,1
Mid class,female,Child,Survived,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,female,Child,Died,1
Low class,female,Child,Survived,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Others,Survived,1
Mid class,male,Elder,Died,1
Low class,male,Child,Died,1
Low class,female,Others,Died,1
High class,male,Elder,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,female,Others,Survived,1
High class,female,Child,Survived,1
High class,female,Others,Survived,1
High class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Child,Survived,1
High class,male,Elder,Died,1
High class,male,Others,Died,1
Low class,female,Child,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
High class,female,Elder,Survived,1
High class,female,Others,Survived,1
High class,male,Child,Died,1
Low class,male,Others,Survived,1
Mid class,female,Others,Survived,1
High class,male,Others,Died,1
Low class,female,Child,Survived,1
High class,female,Elder,Survived,1
Low class,female,Others,Died,1
Mid class,male,Child,Died,1
Low class,male,Child,Died,1
Low class,female,Others,Survived,1
Low class,male,Elder,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
High class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Survived,1
Low class,female,Others,Survived,1
High class,female,Others,Survived,1
High class,female,Others,Survived,1
Mid class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,male,Others,Died,1
High class,male,Child,Died,1
Low class,male,Others,Died,1
High class,female,Child,Died,1
High class,male,Child,Survived,1
High class,female,Others,Survived,1
Low class,female,Child,Survived,1
Low class,male,Child,Survived,1
Low class,male,Others,Died,1
Mid class,female,Child,Survived,1
Low class,male,Child,Died,1
High class,male,Child,Survived,1
High class,female,Child,Survived,1
High class,female,Others,Survived,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
High class,female,Others,Survived,1
High class,female,Others,Survived,1
Mid class,female,Others,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Mid class,male,Elder,Died,1
High class,female,Others,Survived,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
High class,female,Others,Survived,1
Low class,male,Elder,Died,1
Mid class,female,Others,Survived,1
Low class,female,Others,Survived,1
High class,female,Others,Survived,1
Low class,female,Child,Survived,1
High class,male,Others,Died,1
High class,male,Others,Died,1
Low class,male,Others,Died,1
High class,female,Child,Survived,1
Low class,male,Child,Died,1
High class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Survived,1
High class,male,Others,Died,1
Mid class,male,Child,Survived,1
High class,female,Others,Survived,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Low class,female,Child,Survived,1
Low class,male,Child,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Mid class,female,Others,Died,1
Low class,female,Child,Survived,1
Low class,female,Child,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
High class,female,Elder,Survived,1
Low class,female,Child,Survived,1
Low class,female,Child,Survived,1
High class,female,Others,Survived,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
Low class,female,Child,Died,1
High class,female,Child,Survived,1
Low class,female,Others,Survived,1
High class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,female,Child,Survived,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Child,Died,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
Mid class,female,Others,Survived,1
High class,male,Others,Survived,1
Low class,male,Others,Survived,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Survived,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Elder,Died,1
Mid class,male,Child,Survived,1
Low class,male,Others,Died,1
Low class,female,Child,Died,1
Low class,male,Child,Died,1
Low class,male,Child,Died,1
High class,female,Others,Survived,1
Mid class,male,Child,Died,1
Low class,male,Others,Survived,1
Low class,female,Child,Died,1
Mid class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Mid class,male,Others,Died,1
Low class,female,Child,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Mid class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Survived,1
High class,male,Others,Survived,1
Low class,female,Child,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,female,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Elder,Died,1
Mid class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,male,Child,Survived,1
High class,male,Child,Survived,1
Mid class,female,Others,Survived,1
High class,male,Others,Survived,1
Low class,female,Child,Survived,1
High class,male,Elder,Survived,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
High class,male,Others,Died,1
High class,male,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Survived,1
High class,male,Elder,Died,1
High class,female,Child,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,male,Child,Died,1
High class,male,Elder,Died,1
Low class,male,Child,Died,1
Low class,female,Child,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Low class,female,Others,Died,1
High class,male,Child,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Child,Survived,1
Low class,male,Child,Died,1
Mid class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,female,Elder,Survived,1
High class,male,Others,Survived,1
Low class,female,Child,Died,1
High class,female,Others,Survived,1
High class,male,Elder,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
High class,male,Elder,Died,1
High class,male,Elder,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,female,Elder,Survived,1
Low class,male,Child,Died,1
High class,female,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,female,Child,Died,1
Low class,female,Others,Died,1
High class,female,Others,Survived,1
High class,male,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Child,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
Low class,male,Others,Survived,1
Low class,male,Child,Died,1
High class,male,Others,Survived,1
High class,female,Elder,Survived,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,female,Child,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,female,Child,Survived,1
Low class,female,Others,Died,1
Mid class,female,Child,Survived,1
High class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Child,Died,1
High class,female,Others,Survived,1
High class,female,Others,Survived,1
Low class,female,Child,Died,1
Low class,female,Child,Died,1
Mid class,male,Others,Survived,1
High class,male,Others,Died,1
High class,male,Elder,Died,1
Mid class,female,Others,Survived,1
Mid class,male,Child,Survived,1
Low class,male,Others,Died,1
Mid class,male,Child,Survived,1
High class,male,Others,Survived,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Survived,1
Low class,female,Others,Survived,1
High class,male,Elder,Died,1
High class,female,Others,Survived,1
High class,male,Child,Died,1
High class,female,Others,Survived,1
Low class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,female,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Survived,1
Mid class,male,Elder,Survived,1
High class,female,Elder,Survived,1
High class,male,Others,Survived,1
Low class,female,Child,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
High class,female,Others,Survived,1
Low class,female,Child,Died,1
Low class,male,Others,Survived,1
Mid class,female,Others,Survived,1
High class,female,Others,Survived,1
Mid class,male,Elder,Died,1
High class,male,Others,Died,1
Low class,male,Child,Died,1
High class,female,Others,Survived,1
Mid class,male,Others,Died,1
High class,male,Elder,Survived,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
High class,female,Elder,Survived,1
Low class,male,Others,Died,1
Low class,female,Child,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Child,Survived,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,male,Others,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
High class,male,Child,Died,1
Low class,male,Others,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,male,Others,Survived,1
Mid class,female,Others,Survived,1
High class,female,Others,Survived,1
Low class,female,Others,Died,1
Low class,male,Child,Died,1
Low class,female,Child,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,female,Child,Survived,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,male,Elder,Died,1
Mid class,male,Elder,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,male,Elder,Survived,1
Low class,male,Elder,Died,1
High class,male,Others,Survived,1
High class,male,Child,Died,1
Low class,female,Child,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,female,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,female,Child,Died,1
Low class,male,Child,Survived,1
Low class,female,Child,Survived,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
High class,male,Elder,Survived,1
Low class,male,Child,Died,1
Low class,female,Others,Survived,1
Low class,male,Child,Died,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,female,Child,Survived,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
High class,male,Elder,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
High class,female,Child,Survived,1
Mid class,female,Others,Survived,1
High class,male,Others,Died,1
Mid class,male,Elder,Died,1
Mid class,male,Others,Survived,1
Mid class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Survived,1
Low class,female,Others,Died,1
High class,male,Others,Survived,1
Low class,female,Child,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,male,Elder,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
High class,male,Others,Survived,1
Low class,female,Child,Survived,1
Low class,male,Child,Survived,1
Low class,male,Others,Died,1
High class,male,Elder,Died,1
Mid class,male,Elder,Died,1
Low class,male,Others,Died,1
Low class,female,Child,Survived,1
High class,male,Others,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
High class,male,Others,Survived,1
Low class,female,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Others,Survived,1
High class,female,Others,Survived,1
Low class,male,Child,Survived,1
High class,female,Others,Survived,1
High class,male,Child,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Mid class,male,Elder,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,female,Child,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,female,Child,Survived,1
Mid class,male,Others,Died,1
Low class,female,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Child,Died,1
Mid class,male,Child,Died,1
Mid class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
High class,male,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Child,Died,1
High class,male,Child,Survived,1
High class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
High class,male,Elder,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Child,Survived,1
Low class,male,Child,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Mid class,male,Child,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Survived,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
High class,female,Elder,Survived,1
High class,male,Child,Died,1
Low class,female,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Elder,Died,1
Low class,male,Child,Died,1
Mid class,female,Elder,Survived,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,female,Child,Survived,1
Low class,male,Child,Died,1
High class,female,Others,Survived,1
Low class,female,Others,Survived,1
High class,female,Others,Survived,1
High class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Child,Survived,1
High class,male,Others,Died,1
Low class,male,Child,Died,1
Mid class,male,Others,Died,1
Low class,female,Child,Died,1
High class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
Mid class,female,Others,Survived,1
High class,male,Child,Survived,1
Low class,male,Child,Survived,1
Low class,male,Others,Survived,1
Low class,male,Others,Died,1
High class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
Low class,female,Child,Died,1
Low class,male,Others,Died,1
High class,male,Child,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,female,Elder,Survived,1
Low class,male,Others,Survived,1
High class,male,Others,Died,1
Low class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Child,Died,1
Low class,male,Child,Died,1
Mid class,male,Child,Survived,1
Low class,male,Child,Survived,1
High class,female,Elder,Survived,1
Low class,female,Others,Survived,1
Mid class,male,Child,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Survived,1
High class,male,Child,Survived,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
High class,female,Child,Survived,1
Low class,male,Child,Died,1
Low class,male,Elder,Died,1
Low class,female,Child,Died,1
High class,female,Others,Survived,1
Mid class,female,Others,Died,1
Low class,female,Others,Survived,1
High class,female,Others,Survived,1
High class,male,Elder,Survived,1
Low class,female,Others,Survived,1
Low class,male,Child,Died,1
Low class,male,Others,Died,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,female,Child,Died,1
Mid class,male,Others,Died,1
Mid class,female,Others,Survived,1
Mid class,female,Others,Survived,1
High class,male,Others,Died,1
Low class,male,Child,Died,1
Low class,male,Child,Survived,1
Low class,male,Others,Died,1
High class,female,Others,Survived,1
High class,male,Others,Died,1
Low class,male,Others,Died,1
Mid class,female,Others,Survived,1
Low class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,male,Child,Died,1
High class,female,Elder,Survived,1
Mid class,female,Others,Survived,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
Low class,male,Others,Died,1
Low class,female,Others,Died,1
Mid class,male,Others,Died,1
High class,female,Others,Survived,1
Low class,female,Child,Died,1
High class,male,Others,Survived,1
Low class,male,Others,Died,1
